Year,GDP,GDP_growth,Inflation,Exchange_rate,Unemployment,FDI,GDP_per_capita
2000,3409611141.00167,-3.91802585208993,3.25406745833358,23.8923333333333,10.033,2.25319074953564,680.911061879778
2001,3382351510.30114,-0.799493830035985,4.7148963468961,25.5629166666667,10.125,4.39273814893831,651.817840199777
2002,3429078153.90208,1.38148396045266,3.8957052575849,27.1739166666667,10.185,3.78943003870853,648.879643934862
2003,3666653932.36533,6.92826957568474,5.15190150769578,26.303,9.921,4.97077585567831,732.017820812675
2004,3840187785.10236,4.73275787510946,10.3676233473073,26.42791666666665,9.791,17.1048404222648,823.554457141893
2005,4169149304.40539,8.56628732009419,12.1256487185541,26.5528333333333,9.626,27.6520361298831,998.96583416747
2006,4933487730.19964,18.3331986932345,6.2410332814282,26.86,9.37,3.94434472704714,1300.60367988659
2007,4836326500.47834,-1.96942274988409,7.25410841304887,25.8586666666667,9.524,3.2067650776131,1405.15016203368
2008,4820314428.25798,-0.331079223430805,7.34663541249786,23.8203333333333,9.735,6.58359348707617,1635.5630623124
2009,4825032355.07832,0.0978759143320076,2.22092032381779,26.2365833333333,10.186,-0.0651602023733604,1435.43010811893
2010,4951459275.31606,2.62022948104543,6.28354087427704,27.5894166666667,10.075,2.31890567703789,1659.96369705455
2011,5158072939.98105,4.17278327815399,5.68631959575954,28.1118333333333,9.968,8.70335489423716,1931.19975525465
2012,5388639480.83596,4.47001319170479,4.90242727217997,29.662,9.864,20.6013054045892,1859.11733247641
2013,5612311839.16241,4.1508131898954,4.12910173783393,30.0681666666667,9.929,15.5890028558149,1934.24103064714
2014,5852228252.66622,4.27482328814457,3.53436856147324,30.2725,10.028,7.62361704174833,1713.00865264234
2015,6166863896.68677,5.37633924099251,3.25472688117631,32.4671666666667,10.108,8.13584950372229,1554.94897871782
2016,6244622452.80308,1.26090923067225,1.47171045650004,35.2370833333334,10.283,4.23731114711712,1565.76575722696
2017,6636194355.58626,6.27054566937677,2.25427651934813,35.7944166666667,10.336,8.65007999188081,1615.00401327323
2018,6952885074.44597,4.77217365692621,3.06735996058356,35.6775,10.407,10.3416772803986,1722.93528854073
2019,7171275534.84383,3.14100489306969,2.30009262117937,36.6908333333334,10.416,-11.1917343784634,1767.072710621
2020,7145411800.0896,-0.360657384151068,2.3856948845632,37.1891666666667,11.054,11.2328299227716,1795.76459566714
2021,7198481880.1079,0.742715486567747,3.56516484650185,36.0633333333333,11.144,11.6047527792442,1947.78918383313
2022,7687691068.95683,6.79600500489967,9.52526628622843,36.935,10.531,14.6644208551054,1960.35240077424
2023,8211183625.04944,6.80949001978621,4.95305034506872,36.4891666666666,10.446,7.90868374475115,2135.78187606359
